Country ID,Source Data,Country Name,Year,CPI
422,General,Lebanon,2017,119.14
152,Food,Chile,2016,118.97
703,Food,Slovakia,2018,118.83
8,Food,Albania,2015,118.82
428,Food,Latvia,2018,118.82
440,Food,Lithuania,2017,118.78
226,General,Equatorial Guinea,2015,118.62
682,Food,Saudi Arabia,2015,118.6
682,General,Saudi Arabia,2018,118.58
702,Food,Singapore,2018,118.55
368,General,Iraq,2015,118.54
178,General,Congo,2015,118.53
316,General,Guam,2018,118.5
422,Food,Lebanon,2015,118.5
826,General,United Kingdom,2018,118.44
203,Food,Czechia,2015,118.41
226,Food,Equatorial Guinea,2016,118.37
784,Food,United Arab Emirates,2015,118.35
152,General,Chile,2018,118.34
352,Food,Iceland,2017,118.27
410,Food,Republic of Korea,2016,118.27
585,General,Palau,2017,118.17
414,General,Kuwait,2015,118.13
428,Food,Latvia,2017,118.12
124,Food,Canada,2018,118.07
40,Food,Austria,2017,118.0
233,Food,Estonia,2015,117.99
616,Food,Poland,2018,117.94
585,General,Palau,2015,117.9
36,General,Australia,2018,117.9
442,Food,Luxembourg,2018,117.87
690,Food,Seychelles,2018,117.86
352,General,Iceland,2015,117.84
776,Food,Tonga,2016,117.84
604,General,Peru,2015,117.77
690,Food,Seychelles,2017,117.74
31,General,Azerbaijan,2015,117.73
578,General,Norway,2018,117.72
348,General,Hungary,2018,117.71
233,Food,Estonia,2016,117.65
854,Food,Burkina Faso,2017,117.64
48,General,Bahrain,2018,117.63
170,General,Colombia,2015,117.59
624,Food,Guinea-Bissau,2017,117.56
116,General,Cambodia,2015,117.49
8,General,Albania,2018,117.41
348,Food,Hungary,2016,117.36
608,General,Philippines,2018,117.3
203,Food,Czechia,2016,117.3
686,Food,Senegal,2017,117.17
268,General,Georgia,2016,117.11
682,Food,Saudi Arabia,2016,117.09
48,Food,Bahrain,2017,117.09
524,Food,Nepal,2018,117.07
422,Food,Lebanon,2016,117.07
136,Food,Cayman Islands,2017,116.9
524,General,Nepal,2017,116.9
702,Food,Singapore,2017,116.87
705,Food,Slovenia,2017,116.8
56,Food,Belgium,2018,116.8
784,General,United Arab Emirates,2018,116.78
690,Food,Seychelles,2016,116.72
682,General,Saudi Arabia,2016,116.69
690,Food,Seychelles,2015,116.68
100,Food,Bulgaria,2017,116.68
585,General,Palau,2016,116.67
348,Food,Hungary,2015,116.6
191,Food,Croatia,2010,116.58
585,Food,Palau,2015,116.43
276,Food,Germany,2017,116.41
400,General,Jordan,2015,116.4
242,General,Fiji,2015,116.36
499,General,Montenegro,2018,116.31
40,General,Austria,2018,116.3
776,Food,Tonga,2015,116.29
